n_sector,addetti_ul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,1094.0000011,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.03028336258381015,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.026096891015807516,0.014753198339827684,0.014753198339827684,0.014753198339827684,0.014753198339827684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,29607.870006608602,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0018903757719656044,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0013138398645805103,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.0012202836574172892,0.00037321158183731534,0.00037321158183731534,0.00037321158183731534,0.00037321158183731534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,22787.469972316,0.0043594133012873305,0.0043594133012873305,0.0043594133012873305,0.0043594133012873305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4035.4799971270004,0.010276348843142314,0.010276348843142314,0.010276348843142314,0.010276348843142314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2851.1700076069997,0.005611731309361267,0.005611731309361267,0.005611731309361267,0.005611731309361267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4002.339979751,0.00024985383677031197,0.00024985383677031197,0.00024985383677031197,0.00024985383677031197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
