n_sector,addetti_ul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,262.85999934,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.007608612968963268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8734.4699808,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.04260819507286387,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.008974786228851419,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0011906847150269107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9682.939983664999,0.023932813746748667,0.023932813746748667,0.023932813746748667,0.023932813746748667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1954.40999628,0.007055837836609368,0.007055837836609368,0.007055837836609368,0.007055837836609368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1642.19999381,0.036700767401764554,0.036700767401764554,0.036700767401764554,0.036700767401764554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1638.429999788,0.012817148125166919,0.012817148125166919,0.012817148125166919,0.012817148125166919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1105.350006071,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0009046908169427077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1410.430006988,0.021206298683245806,0.021206298683245806,0.021206298683245806,0.021206298683245806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
